Client,Best_Model,Best_wMAPE,Cluster,client_mean,client_std
MT_133,DeepAR,0.26649712883230153,1,1.8941550914279992,1.3858802184198127
MT_366,Prophet,0.2991315980560283,1,12.46988982366528,9.317530525703685
MT_036,Prophet,0.31340892068497966,1,36.53609862725997,25.341499394653944
MT_134,Prophet,0.3642743465847963,1,14.328772817050039,10.464113481976595
MT_095,SARIMA,0.48343987041225595,1,16.916089829536894,15.467598236545275
MT_094,SARIMA,0.5862170654835251,1,25.83079558821178,27.79049757153738
MT_348,DeepAR,0.6276475877016784,1,17.676687446411695,21.23323809693447
MT_132,DeepAR,0.870400131702423,1,13.419462651491907,15.893244355273536
MT_194,SARIMA,0.014251535419901625,2,2698.590180250388,903.425871969598
MT_224,SARIMA,0.017963024275789087,2,3443.8650311126594,1049.8693157817645
MT_147,Prophet,0.018671768065287316,2,2750.6024581906104,250.342176885322
MT_241,SARIMA,0.022988911137611114,2,2626.2281703023446,754.1787842820012
MT_218,SARIMA,0.023523442731794953,2,1306.2294724307371,385.1253707140929
MT_364,SARIMA,0.025233728695544643,2,3975.62272864653,2454.0080000654684
MT_216,SARIMA,0.030793566366186017,2,2218.2416076468858,752.3919898424721
MT_166,SARIMA,0.034014041091455956,2,1288.5455139796913,381.84771264829794
MT_276,SARIMA,0.03731605997232908,2,1986.0758435931077,692.8824183203184
MT_228,SARIMA,0.037985633951766976,2,5817.521652231846,1955.8401958784693
MT_208,SARIMA,0.03847866041934487,2,6707.1252745327465,2060.0331600468007
MT_196,SARIMA,0.03946174360909194,2,20886.763334574338,7292.0465871856395
MT_341,SARIMA,0.040164518715598244,2,1048.483713104175,526.660783260157
MT_323,SARIMA,0.04381574286133516,2,1801.0402160071194,625.7444129004455
MT_220,SARIMA,0.04470746436308323,2,2965.523813114414,1217.5121178084432
MT_191,SARIMA,0.04510728122700588,2,1961.1676545584082,513.7744981572978
MT_163,Prophet,0.0476917747091259,2,2402.2422117070596,358.2826495351692
MT_363,SARIMA,0.05346096217250192,2,2532.9575395904376,1659.7993764966434
MT_362,SARIMA,0.05361633749552174,2,51040.832918597625,36979.80615336716
MT_103,SARIMA,0.057499851172139634,2,1129.8938780023018,642.0845062005229
MT_328,SARIMA,0.06077020233150478,2,1260.688949560133,460.22325455084285
MT_370,SARIMA,0.0655372570310935,2,17543.35021503944,4012.57815537844
MT_157,Prophet,0.06985295233173497,2,2135.706820239223,550.471602712174
MT_279,SARIMA,0.07272274113172425,2,12094.993317200297,3000.861414782467
MT_161,LSTM,0.0740159182333824,2,1781.7702597142934,377.05167025807776
MT_345,Prophet,0.08568231292710103,2,2100.617267781584,860.3109880375632
MT_064,Prophet,0.09032460174418491,2,1404.7383974746458,411.0459116222776
MT_357,Prophet,0.0994215316533544,2,1883.1647372373748,1070.571122605928
MT_351,Prophet,0.10873228131130579,2,1647.1872191998568,954.6016966874614
MT_339,DeepAR,0.11711576093276896,2,3287.81189583405,1845.3558668293238
MT_358,DeepAR,0.13657076927247871,2,817.4458539042181,530.0934214362811
MT_099,SARIMA,0.16452841646522248,2,1177.9327563028914,780.6255404145664
MT_144,Prophet,0.012583455652503376,3,180.11916690242677,18.970060330062957
MT_283,SARIMA,0.018326245855456252,3,269.9746067554846,58.982199850723795
MT_272,SARIMA,0.019205351887054644,3,155.483778978521,41.446105239922936
MT_289,SARIMA,0.020886776389004488,3,104.16832802820804,28.251432512448336
MT_244,SARIMA,0.024139519364781464,3,157.49885210033148,50.7404217297173
MT_281,SARIMA,0.02415234026865305,3,123.93322833410414,31.579820285101455
MT_148,DeepAR,0.02498251700313926,3,343.3707188557944,25.79814246624648
MT_265,SARIMA,0.025012916317563673,3,178.82067726782992,50.609812142408984
MT_322,SARIMA,0.02726842624035449,3,96.52612136530688,35.73926981825261
MT_170,SARIMA,0.028093179672268827,3,84.97869932322487,34.0566079902602
MT_187,SARIMA,0.02919711487787385,3,48.199790889651815,47.45542091851102
MT_271,SARIMA,0.030043720967598043,3,153.29041290293077,43.29075027776895
MT_330,SARIMA,0.030086437658278706,3,100.01356682799702,39.031844654909435
MT_288,SARIMA,0.030607685766579906,3,94.51169106097579,42.29425341996484
MT_257,SARIMA,0.031348083025725,3,157.7437880715648,44.697336673642944
MT_329,SARIMA,0.03143414130125803,3,214.58902424335332,55.2083638764446
MT_248,SARIMA,0.032180540193223965,3,167.59079980050294,62.61741092129027
MT_275,SARIMA,0.03292008228836601,3,131.8570689520739,34.78764751668137
MT_277,SARIMA,0.03298715919167117,3,92.558423274763,29.345552622498666
MT_267,SARIMA,0.03364793525987421,3,70.43086125027301,24.764007209936544
MT_318,SARIMA,0.03400805877706509,3,175.68274107810402,60.25305206214304
MT_171,SARIMA,0.03422508001194405,3,247.444049565499,62.2535391509836
MT_242,SARIMA,0.03515819962688298,3,201.5734594745528,59.03272474490472
MT_308,Prophet,0.035598940511098576,3,113.12219337076651,40.10454261175034
MT_284,SARIMA,0.035831293344387526,3,74.40660935921336,26.280142968045034
MT_172,SARIMA,0.036179682178235,3,124.0386892025344,39.41280784845047
MT_230,SARIMA,0.03651054844764655,3,99.02839117212987,29.116042818769305
MT_319,SARIMA,0.03655033955568482,3,97.19775053778005,29.444938912344195
MT_302,SARIMA,0.0370201209443907,3,127.63333039839182,38.146786665635844
MT_305,SARIMA,0.0374754146598076,3,73.0815137088442,21.422117951994245
MT_261,SARIMA,0.03792627470823472,3,62.77692294068759,23.988500396532654
MT_211,SARIMA,0.0387006628870822,3,193.69279771034996,59.337798390287055
MT_173,SARIMA,0.03924828187959643,3,63.04895100423245,24.232354564207675
MT_174,SARIMA,0.039557359775500976,3,145.32433817953478,47.482812772394624
MT_297,SARIMA,0.04015459530405579,3,150.92544668202945,47.49974000824747
MT_181,SARIMA,0.04019658222011878,3,93.28975860348775,14.084329804619749
MT_239,SARIMA,0.04101755930446537,3,116.74270009074085,31.978792475878894
MT_232,SARIMA,0.041080170593906416,3,86.06486201508466,32.362054147179215
MT_237,SARIMA,0.0411581522303397,3,86.36087951401923,24.149359911635806
MT_245,SARIMA,0.04124560769928619,3,198.68334377487352,46.43581048807712
MT_083,SARIMA,0.041536776749562035,3,71.03418910222493,20.759721081419713
MT_365,SARIMA,0.04282324019792056,3,87.31265208698213,60.69703227897512
MT_315,SARIMA,0.043140175278611366,3,89.21544530702462,23.877304614244917
MT_291,SARIMA,0.043159688815458085,3,89.6522508012561,30.904525197487747
MT_142,SARIMA,0.04339363496047611,3,57.624153730060975,41.765224116919796
MT_256,SARIMA,0.04436921969241839,3,147.96555232321145,47.55764549129548
MT_304,SARIMA,0.044713424666399326,3,69.81910785190061,22.54806406769332
MT_300,SARIMA,0.04508284250673802,3,132.2200298546103,36.045848655685575
MT_287,SARIMA,0.046589765372091356,3,159.11071159695064,48.07814115277271
MT_260,SARIMA,0.04717385431642143,3,184.65275498734175,69.53956733065233
MT_197,SARIMA,0.04745065203258868,3,157.47591553975613,50.90033249625772
MT_270,SARIMA,0.047780035918529556,3,68.78785094770794,23.896008528625206
MT_278,SARIMA,0.04780075409946042,3,91.31023046489113,28.098093064427182
MT_176,SARIMA,0.048179312167706705,3,85.15736744423826,28.397728680354398
MT_072,SARIMA,0.04886421820816212,3,94.05245878323119,29.159751647097824
MT_129,SARIMA,0.04925519991899131,3,111.3037560321454,41.93266710783642
MT_165,SARIMA,0.05022568407492045,3,86.06435190549372,28.3174957837729
MT_259,SARIMA,0.050455559848737154,3,160.03974590657893,36.38661865051156
MT_037,SARIMA,0.05074441075057582,3,110.52414560201973,35.81603519142333
MT_293,SARIMA,0.05131827183479809,3,97.54322292894585,34.1588743459161
MT_153,Prophet,0.051445854693885566,3,181.35581054261132,72.36619376199587
MT_179,SARIMA,0.05172347830403563,3,79.1727837524722,25.445781597308333
MT_258,SARIMA,0.05240740640081369,3,123.93932214003674,37.88282111645832
MT_185,SARIMA,0.05399234939708415,3,69.68697294853688,26.200303748052086
MT_309,SARIMA,0.05425749739153654,3,223.66243562422835,53.70104545965204
MT_008,SARIMA,0.05473910217061866,3,254.47137097348667,56.565918258158874
MT_251,SARIMA,0.055032612895497,3,78.5244028760487,22.037004565977426
MT_184,SARIMA,0.055394493880194746,3,92.16789316572516,23.739910747932097
MT_180,SARIMA,0.056509285859144304,3,155.20113545477037,44.64633399023967
MT_264,SARIMA,0.05827452245536814,3,197.13810542203905,67.73992160315174
MT_118,SARIMA,0.05829158990891283,3,97.6308347995002,42.89495837629622
MT_262,SARIMA,0.059289856563591675,3,198.70327920961284,51.962371441890234
MT_177,SARIMA,0.05957881513834581,3,151.76166940835805,49.216973913265406
MT_250,SARIMA,0.05968067872527596,3,93.53157125403928,26.603116057704145
MT_301,Prophet,0.06019852897779094,3,116.78148250945392,34.75205509117688
MT_167,SARIMA,0.06171669990666275,3,76.63365340573746,27.384002637079444
MT_021,SARIMA,0.06286853343362707,3,161.86848121122483,48.76113039171146
MT_236,SARIMA,0.0635105339324723,3,148.26002741543203,44.691071299063566
MT_340,SARIMA,0.06387334982015004,3,134.263755600971,83.63600443384244
MT_336,SARIMA,0.06415679897152633,3,163.7466664736372,70.20908420946893
MT_285,SARIMA,0.06422307144774833,3,101.99269240070024,33.68839469999589
MT_035,SARIMA,0.064294205384443,3,116.30089384369795,30.91122675888336
MT_050,Prophet,0.0643244200820948,3,163.27044327310352,55.973432816590744
MT_263,SARIMA,0.06604982440892401,3,191.9874451762931,71.85244538726324
MT_333,Prophet,0.06611270521089638,3,84.68118647579719,32.6443191946459
MT_306,SARIMA,0.06667581851238173,3,81.68649118900706,28.751758320806506
MT_311,SARIMA,0.0678101991728177,3,130.44708369458579,36.66331908824489
MT_233,LSTM,0.06783301745880647,3,139.92362365928966,54.26102666523052
MT_221,Prophet,0.0701397197480044,3,159.6081172237871,57.938500266399345
MT_321,SARIMA,0.07028808982690204,3,113.40639142325854,34.87276661623373
MT_143,Prophet,0.07036699312771907,3,171.88402779257893,63.10381424216721
MT_282,SARIMA,0.0707157097484255,3,113.52569706015318,29.556905972710826
MT_168,SARIMA,0.07136663152223074,3,137.35632233729277,44.530583767729524
MT_296,SARIMA,0.07139928963653379,3,98.60296560505506,32.34891790862827
MT_286,SARIMA,0.07163050309173069,3,120.5694212080167,42.47792770109967
MT_243,SARIMA,0.07195532155831015,3,132.0459150869798,45.22126595181983
MT_183,SARIMA,0.07234743690328706,3,85.73278323500772,30.320597217239612
MT_006,SARIMA,0.07286220165934883,3,186.67946374600615,61.08860620242935
MT_025,SARIMA,0.07385419295631424,3,216.02823510802367,72.49337225257875
MT_303,Prophet,0.0743788099914487,3,153.16801603687665,45.47350790890788
MT_292,Prophet,0.07583084228014021,3,266.2269255087411,61.16369368596641
MT_206,DeepAR,0.07611035529841313,3,210.43492241387398,70.12973431429243
MT_356,SARIMA,0.07719013171779077,3,113.88259418143878,112.17884819044669
MT_069,SARIMA,0.07765840663289948,3,159.98217186930114,42.00562915957239
MT_175,SARIMA,0.07880527025119023,3,164.24574438548322,58.502430457258676
MT_031,SARIMA,0.07969042640449393,3,89.40316234874916,25.009723542720728
MT_320,Prophet,0.0806655425080158,3,105.22281212048767,28.53244319130288
MT_111,SARIMA,0.08110787859276619,3,53.75795572611386,20.722131278546527
MT_041,SARIMA,0.08197250349595335,3,87.61372363489382,22.90741719408634
MT_100,SARIMA,0.08385289103776973,3,60.1666669237846,49.84308080979263
MT_106,Prophet,0.08513132163198196,3,51.74125972133349,27.68634119971712
MT_126,Prophet,0.08610992309015571,3,58.93912042135055,19.213704120297056
MT_085,SARIMA,0.08638172371523145,3,123.6658166987431,32.40230073157555
MT_337,Prophet,0.0869480502205291,3,130.33240158713565,51.399576721519736
MT_076,SARIMA,0.08714619825441787,3,59.67038609985738,18.177672307094266
MT_054,Prophet,0.08885972604048128,3,69.2572268902589,17.29771243560133
MT_004,SARIMA,0.08889310084692123,3,108.08019998394624,37.04488498892575
MT_234,SARIMA,0.08899557650121548,3,88.70136018396636,29.76295001091558
MT_067,SARIMA,0.09097877902342225,3,195.9384873162618,65.75680493565807
MT_038,Prophet,0.09135704902321262,3,119.4580735136344,28.31210785945293
MT_029,SARIMA,0.09143467889110735,3,77.45834614468923,30.590030587851132
MT_012,Prophet,0.09291490408356674,3,146.3829061211959,42.167265811805315
MT_065,SARIMA,0.09316953589798373,3,62.35919014996689,18.83774074752
MT_138,DeepAR,0.09849047377527063,3,114.86158873633283,41.51447262829697
MT_028,SARIMA,0.09980817840158102,3,66.51598988433561,20.831574871138876
MT_046,SARIMA,0.10333307157167315,3,130.31981688189293,38.948838760429474
